Date,Region,Class,Commodity,Variety,Unit,Number of Stores,Weighted Avg Price,Month,AvgTempC,AvgTempF,AvgPrecipitation,AvgPressure
2014-04-04 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,237,1.66,Apr,12,53,0,1007.625
2014-04-11 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,224,1.43,Apr,11,52,0,1021.25
2014-04-18 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,449,1.55,Apr,8,46,0,1020.375
2014-04-25 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,123,1.28,Apr,10,51,0.4,1011.5
2014-05-02 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,265,1.4,May,9,49,0,1022.25
2014-05-09 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,75,1.29,May,12,54,0,1010.875
2014-05-16 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,236,1.21,May,15,58,0,1031.75
2014-05-23 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,222,1.11,May,13,55,0.025,1005.125
2014-05-30 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,446,1.97,,,,,
2014-06-06 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,371,1.15,Jun,15,59,0,1013.25
2014-06-13 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,521,1.43,Jun,19,66,0,1024.625
2014-06-20 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,297,1.36,Jun,15,60,0,1022.375
2014-06-27 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,423,1.85,Jun,16,61,0.0375,1012.5
2014-07-04 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,96,1.43,Jul,19,66,0,1008.5
2014-07-11 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,198,1.44,Jul,15,59,0.3625,1017.5
2014-07-18 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,741,1.46,Jul,23,73,0,1013.625
2014-07-25 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,1793,1.15,Jul,20,68,0.025,1016.75
2014-08-01 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,755,1.43,Aug,19,66,0.0125,1009.25
2014-08-08 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,227,1.28,Aug,19,66,0.8625,1008.375
2014-08-15 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,479,1.07,Aug,15,59,0.025,1015.25
2014-08-22 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,495,1.7,Aug,15,58,0,1010.5
2014-08-29 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,818,1.37,,,,,
2014-09-05 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,526,1.44,Sep,17,63,0,1015.875
2014-09-12 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,987,1.12,Sep,16,61,0,1024.125
2014-09-19 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,571,1.38,Sep,19,65,0.375,1011
2014-09-19 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,25,2.99,Sep,19,65,0.375,1011
2014-09-26 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,592,1.22,Sep,17,62,0,1023.125
2014-10-03 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,850,1.16,Oct,15,60,0,1022.125
2014-10-10 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,335,1.39,Oct,13,55,0.0625,1009.375
2014-10-17 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,501,0.98,Oct,15,59,0.15,1009.375
2014-10-17 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,84,2.99,Oct,15,59,0.15,1009.375
2014-10-24 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,538,1.27,Oct,14,58,0.2,1014.25
2014-10-31 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,583,1.16,,,,,
2014-11-07 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,816,1.04,Nov,11,51,0.375,993.875
2014-11-07 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,107,2.29,Nov,11,51,0.375,993.875
2014-11-14 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,583,1.34,Nov,11,52,0.425,999.875
2014-11-21 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,692,1.09,Nov,7,44,0.2375,1018.375
2014-11-28 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,480,1.11,Nov,10,49,0.025,1002.875
2014-12-05 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,544,0.95,Dec,3,37,0,1019.125
2014-12-05 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,19,2.41,Dec,3,37,0,1019.125
2014-12-12 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,616,1.07,Dec,7,44,0.3375,997
2014-12-12 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,9,1.99,Dec,7,44,0.3375,997
2014-12-19 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,706,1.67,Dec,8,47,0.075,1014.5
2015-01-09 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,500,1,Jan,10,50,0,1019.5
2015-01-16 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,407,0.97,Jan,4,39,0,1003.375
2015-01-23 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,752,1.03,Jan,2,36,0.0875,1024.25
2015-01-23 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,106,2.29,Jan,2,36,0.0875,1024.25
2015-01-30 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,739,1.04,,,,,
2015-01-30 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,7,1.49,,,,,
2015-02-06 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,324,1.23,Feb,1,34,0,1030.75
2015-02-06 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,190,2.35,Feb,1,34,0,1030.75
2015-02-13 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,556,1.16,Feb,6,43,0.1625,1005
2015-02-20 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,878,1.01,Feb,5,42,0.175,1006.25
2015-02-27 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,552,1.24,Feb,4,39,0,1019
2015-03-06 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,733,0.97,Mar,6,43,0,1034.375
2015-03-13 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,669,0.89,Mar,7,44,0,1020.5
2015-03-13 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,72,1.99,Mar,7,44,0,1020.5
2015-03-20 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,284,1.21,Mar,6,44,0,1026.875
2015-03-27 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,502,0.93,Mar,7,44,0,1018.875
2015-04-03 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,816,1.19,Apr,9,49,0.2375,1016.5
2015-04-03 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,147,2.53,Apr,9,49,0.2375,1016.5
2015-04-10 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,271,1.12,Apr,12,53,0.0125,1018.125
2015-04-17 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,607,1.39,Apr,9,48,0,1020.125
2015-04-24 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,269,1.19,Apr,12,53,0,1011.875
2015-04-24 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,11,1.99,Apr,12,53,0,1011.875
2015-05-01 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,327,0.99,May,7,45,0,1010.875
2015-05-01 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,47,3.57,May,7,45,0,1010.875
2015-05-08 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,173,0.82,May,12,54,0.025,1013.5
2015-05-08 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,80,3.32,May,12,54,0.025,1013.5
2015-05-15 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,420,1.4,May,11,52,0,1020.625
2015-05-22 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,381,1.62,May,13,55,0,1025.25
2015-05-22 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,73,3.49,May,13,55,0,1025.25
2015-05-29 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,544,1,,,,,
2015-05-29 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,114,3.49,,,,,
2015-06-05 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,589,1.2,Jun,18,64,0.05,1016.25
2015-06-12 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,270,1.08,Jun,17,63,0.3375,1009.625
2015-06-19 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,245,1.32,Jun,14,57,0,1022
2015-06-26 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,328,1.74,Jun,18,65,0.075,1017.5
2015-07-03 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,98,1.59,Jul,19,66,0,1023.125
2015-07-10 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,162,1.15,Jul,19,66,0,1020.125
2015-07-17 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,210,1.82,Jul,18,64,0.0875,1011.875
2015-07-17 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,74,2.49,Jul,18,64,0.0875,1011.875
2015-07-24 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,569,1.49,Jul,14,57,1.6,1009.875
2015-07-24 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,74,2.49,Jul,14,57,1.6,1009.875
2015-07-31 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,496,1.45,,,,,
2015-07-31 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,19,1.99,,,,,
2015-08-07 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,182,1.51,Aug,18,65,0,1017.75
2015-08-14 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,235,1.25,Aug,18,65,0.575,1005.875
2015-08-14 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,91,2.91,Aug,18,65,0.575,1005.875
2015-08-21 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,607,1.15,Aug,21,69,0,1020
2015-08-28 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,347,1.42,Aug,16,60,0,1016.125
2015-08-28 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,74,2.49,Aug,16,60,0,1016.125
2015-09-04 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,828,1.16,Sep,12,54,0.05,1019.25
2015-09-04 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,74,2.49,Sep,12,54,0.05,1019.25
2015-09-11 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,974,1.32,Sep,16,61,0,1015.125
2015-09-11 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,8,1.99,Sep,16,61,0,1015.125
2015-09-18 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,467,1.2,Sep,14,57,0.125,1014
2015-09-25 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,566,1.22,Sep,13,56,0,1022.625
2015-09-25 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,73,2.99,Sep,13,56,0,1022.625
2015-10-02 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,731,1.02,Oct,13,56,0,1024.625
2015-10-02 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,106,2.49,Oct,13,56,0,1024.625
2015-10-09 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,631,1.03,Oct,12,54,0,1022.875
2015-10-09 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,44,3.99,Oct,12,54,0,1022.875
2015-10-16 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,685,1.04,Oct,11,52,0,1021
2015-10-23 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,496,1.15,Oct,11,51,0,1022.25
2015-10-23 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,175,1.98,Oct,11,51,0,1022.25
2015-10-30 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,608,1,,,,,
2015-10-30 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,11,1.99,,,,,
2015-11-06 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,298,1.06,Nov,15,59,0.1875,1014.875
2015-11-13 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,712,1.02,Nov,10,49,0,1020.25
2015-11-13 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,8,3.99,Nov,10,49,0,1020.25
2015-11-20 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,495,1.18,Nov,7,45,0,1009.125
2015-11-27 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,303,1.05,Nov,10,50,0.075,1011.375
2015-12-04 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,956,1.16,Dec,9,49,0.0625,1025.75
2015-12-04 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,106,2.49,Dec,9,49,0.0625,1025.75
2015-12-11 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,560,1.67,Dec,9,47,0.0875,1021.5
2015-12-11 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,8,1.69,Dec,9,47,0.0875,1021.5
2015-12-18 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,661,1.21,Dec,8,47,0.025,1014.75
2015-12-18 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,114,2.43,Dec,8,47,0.025,1014.75
2016-01-08 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,612,1.23,Jan,6,42,0.0125,999.375
2016-01-08 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,106,2.49,Jan,6,42,0.0125,999.375
2016-01-15 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,899,1.25,Jan,2,35,0,1018.875
2016-01-15 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,39,2.99,Jan,2,35,0,1018.875
2016-01-22 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,979,1.12,Jan,6,43,0.3125,1017.875
2016-01-22 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,125,2.39,Jan,6,43,0.3125,1017.875
2016-01-29 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,1041,1.07,,,,,
2016-01-29 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,7,2.5,,,,,
2016-02-05 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,478,1.02,Feb,9,49,0,1019.375
2016-02-05 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,106,2.49,Feb,9,49,0,1019.375
2016-02-12 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,514,1.37,Feb,4,38,0.0375,996.5
2016-02-19 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,680,1.38,Feb,5,41,0.0375,1016.125
2016-02-26 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,820,1.31,Feb,3,37,0,1011
2016-02-26 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,7,1.49,Feb,3,37,0,1011
2016-03-04 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,779,1.4,Mar,4,40,0.2375,991.5
2016-03-04 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,124,2.39,Mar,4,40,0.2375,991.5
2016-03-11 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,278,1.35,Mar,4,40,0,1027.5
2016-03-11 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,15,1.83,Mar,4,40,0,1027.5
2016-03-18 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,794,1.31,Mar,4,40,0,1026.375
2016-03-25 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,484,1.33,Mar,9,49,0.15,1013
2016-03-25 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,8,1.59,Mar,9,49,0.15,1013
2016-04-01 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,931,1.19,Apr,7,45,0,1018.875
2016-04-08 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,461,1.58,Apr,8,47,0,1010.875
2016-04-08 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,7,1.49,Apr,8,47,0,1010.875
2016-04-15 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,312,1.87,Apr,9,48,0.5,1018.5
2016-04-15 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,7,1.69,Apr,9,48,0.5,1018.5
2016-04-22 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,238,1.26,Apr,8,47,0.15,1021.125
2016-04-22 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,121,2.37,Apr,8,47,0.15,1021.125
2016-04-29 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,483,1.09,,,,,
2016-04-29 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,106,2.49,,,,,
2016-05-06 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,268,1.07,May,15,58,0,1011.5
2016-05-06 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,7,1.5,May,15,58,0,1011.5
2016-05-13 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,186,1.42,May,12,54,0,1009.5
2016-05-20 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,237,1.48,May,13,55,0,1017.625
2016-05-27 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,335,1.96,May,12,54,0,1017
2016-06-03 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,224,2.21,Jun,11,52,0,1017.375
2016-06-10 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,232,1.83,Jun,15,59,0,1014.375
2016-06-17 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,185,1.51,Jun,14,58,0.3625,1007
2016-06-17 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,135,2.99,Jun,14,58,0.3625,1007
2016-06-24 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,415,1.07,Jun,16,61,0.05,1017.5
2016-07-01 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,354,1.17,Jul,15,59,0.0375,1008.875
2016-07-08 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,405,1.42,Jul,17,63,0,1016.375
2016-07-15 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,457,1.5,Jul,16,60,0,1026.25
2016-07-22 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,419,1.31,Jul,19,65,0,1016
2016-07-29 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,719,1.42,,,,,
2016-08-05 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,486,1.34,Aug,17,63,0,1019.375
2016-08-12 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,207,1.64,Aug,19,65,0,1023.375
2016-08-19 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,559,1.26,Aug,16,62,0.0875,1007.125
2016-08-26 00:00:00,NATIONAL,ONIONS AND POTATOES,ONIONS DRY,YELLOW,2 lb bag,760,1.15,Aug,21,69,0.0125,1017.375
